fund,offer,redeem,inv1,inv2
008160.OF,"[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008161.OF,"[[100.0, 500.0, 1000.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008162.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008163.OF,"[[100.0, 300.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008164.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008165.OF,"[[100.0, 500.0, inf], [0.004, 0.002, 1000.0]]","[[1095, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008166.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
008167.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008168.OF,"[[[200.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[inf], [100.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008169.OF,"[[100.0, 200.0, 500.0, inf], [0.01, 0.006, 0.003, 500.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008170.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008171.OF,"[[[100.0, 300.0, 500.0, inf], [0.004, 0.003, 0.002, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0006, 0.0004, 1000.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008172.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008173.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008174.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008175.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008176.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008177.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008178.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.003, 1000.0]]","[[7, 90, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008179.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008180.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.003, 1000.0]]","[[7, 90, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008181.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008182.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008183.OF,"[[20.0, 100.0, inf], [0.015, 0.01, 200.0]]","[[7, 30, 365, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008184.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008185.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
008186.OF,"[[100.0, 300.0, 500.0, inf], [0.012, 0.01, 0.008, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008187.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008188.OF,"[[[inf], [1000.0]], [[inf], [1.5]]]","[[7, 30, 366, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008189.OF,"[[50.0, 100.0, inf], [0.01, 0.006, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008190.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008191.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
008192.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
008193.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
008194.OF,"[[50.0, 100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.005, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008195.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008196.OF,"[[50.0, 100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.005, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008197.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008199.OF,"[[100.0, 200.0, 500.0, inf], [0.012, 0.009, 0.006, 1000.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008200.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008201.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008202.OF,"[[100.0, 200.0, 500.0, inf], [0.003, 0.002, 0.001, 1000.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
008203.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
008204.OF,"[[[100.0, 500.0, inf], [0.003, 0.001, 1000.0]], [[100.0, 500.0, inf], [0.0012, 0.0002, 1000.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008205.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008206.OF,"[[[inf], [1000.0]], [[inf], [0.6]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008207.OF,"[[[inf], [1000.0]], [[inf], [0.6]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008208.OF,"[[[50.0, 100.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0012, 0.0008, 0.0004, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008209.OF,"[[100.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
008210.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
008211.OF,"[[100.0, 200.0, 500.0, inf], [0.004, 0.003, 0.002, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008212.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008213.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008214.OF,"[[[300.0, 500.0, inf], [0.005, 0.003, 1000.0]], [[inf], [100.0]]]","[[7, 90, inf], [0.015, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008215.OF,"[[inf], [0.0]]","[[7, 90, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
008216.OF,"[[[50.0, 100.0, 500.0, inf], [0.005, 0.003, 0.001, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0005, 0.0003, 0.0001, 1000.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008217.OF,"[[[inf], [1000.0]], [[inf], [0.6]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008218.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008219.OF,"[[100.0, 300.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, 1095, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008220.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008221.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008222.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008223.OF,"[[[50.0, 100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.005, 0.003, 1000.0]], [[50.0, 100.0, 200.0, 500.0, inf], [0.0032, 0.0018, 0.001, 0.0006, 1000.0]]]","[[7, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008226.OF,"[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008227.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 30, 180, 365, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
008228.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008229.OF,"[[[100.0, 500.0, inf], [0.006, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0006, 0.0004, 1000.0]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008230.OF,"[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
008231.OF,"[[100.0, 200.0, 500.0, inf], [0.004, 0.003, 0.002, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008232.OF,"[[100.0, 200.0, 500.0, inf], [0.003, 0.002, 0.001, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
008233.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
