fund,offer,redeem,inv1,inv2
050014.OF,"[[100.0, 500.0, inf], [0.015, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050015.OF,"[[100.0, 500.0, 1000.0, inf], [0.016, 0.01, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050016.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 1095, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
050018.OF,"[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050019.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
050020.OF,"[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050021.OF,"[[[100.0, 500.0, inf], [0.008, 0.003, 100.0]], [[100.0, 500.0, inf], [0.0008, 0.0003, 1000.0]]]","[[7, 180, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
050022.OF,"[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050023.OF,"[[[100.0, 500.0, 1000.0, inf], [0.008, 0.004, 0.001, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.0032, 0.0016, 0.0004, 1000.0]]]","[[6, 29, 364, 729, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
050024.OF,"[[100.0, 500.0, 1000.0, inf], [0.012, 0.008, 0.003, 1000.0]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050025.OF,"[[50.0, 100.0, 500.0, inf], [0.012, 0.008, 0.003, 1000.0]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050026.OF,"[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
050027.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 30, 90, 180, inf], [0.015, 0.005, 0.003, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
050028.OF,"[[100.0, 300.0, 500.0, inf], [0.006, 0.003, 0.0008, 1000.0]]","[[0, 7, 365, inf], [0.0005, 0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
050029!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
050029.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
050030.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, 1095, inf], [0.015, 0.012, 0.008, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
050106.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
050111.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
050116.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
050119.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
050123.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
050128.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.009, 0.0]]",['普通投资群体'],['普通投资群体']
050129.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
050201.OF,"[[100.0, 500.0, 1000.0, inf], [0.02, 0.016, 0.012, 1000.0]]","[[7, 365, 730, 1095, inf], [0.015, 0.008, 0.004, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
050202.OF,"[[20.0, 60.0, 100.0, inf], [0.008, 0.005, 0.003, 200.0]]","[[7, 365, 730, 1095, inf], [0.015, 0.012, 0.008, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
050203.OF,"[[20.0, 60.0, 100.0, inf], [0.008, 0.005, 0.003, 200.0]]","[[7, 365, 730, 1095, inf], [0.015, 0.012, 0.008, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
051011.OF,"[[inf], [0.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
070001.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070002.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070003.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070005.OF,"[[[100.0, 500.0, inf], [0.008, 0.006, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.003, 0.0015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070006.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070007.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
070008.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
070009.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
070010.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070011.OF,"[[[100.0, 500.0, 1000.0, inf], [0.015, 0.01, 0.003, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.0015, 0.001, 0.0003, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070012.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070013.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070015.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 90, inf], [0.015, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070016.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
070017.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070018.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070019.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070020.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
070021.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070022.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070023.OF,"[[50.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
070025.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070026.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
070027.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070028.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
070029.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
070030.OF,"[[100.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
070031.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070032.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070033.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
070035.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
070036.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
070037.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
070038.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
070039.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
070088.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
070099.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080001.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.012, 0.006, 0.002]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
080002.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.01, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0045, 0.0036, 0.003, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080003.OF,"[[[50.0, 200.0, 500.0, inf], [0.008, 0.006, 0.002, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0024, 0.0018, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.003, 0.002, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080005.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.003, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0045, 0.003, 0.0009, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080006.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.01, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0045, 0.0036, 0.003, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080007!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
080007.OF,"[[[50.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0036, 0.0024, 0.0012, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080008.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0045, 0.003, 0.0015, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080009.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
080010.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
080011.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
080012.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0045, 0.003, 0.0015, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080015!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
080015.OF,"[[[50.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0036, 0.0024, 0.0012, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
080016.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
080017.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
080018.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
080019.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
090001.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, inf], [0.015, 0.0025]]",['普通投资群体'],['普通投资群体']
090002.OF,"[[50.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, inf], [0.015, 0.0025]]",['普通投资群体'],['普通投资群体']
090003.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 365, inf], [0.015, 0.005, 0.0025]]",['普通投资群体'],['普通投资群体']
090004.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 730, 1095, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090005.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
090006.OF,"[[50.0, 200.0, 500.0, inf], [0.012, 0.01, 0.006, 1000.0]]","[[7, inf], [0.015, 0.003]]",['普通投资群体'],['普通投资群体']
090007.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090008.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
090009.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090010.OF,"[[50.0, 200.0, 500.0, inf], [0.012, 0.008, 0.005, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090011.OF,"[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090012.OF,"[[50.0, 200.0, 500.0, inf], [0.012, 0.008, 0.005, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090013!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
090013.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090015.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090016.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090017.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
090018.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090019.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090020!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
090020.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
090021.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
090022.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
090023.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
091005.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
091008.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
091021.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
091022.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
091023.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
092002.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
096001.OF,"[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
100007.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
100016.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100018.OF,"[[[100.0, 1000.0, inf], [0.012, 0.01, 1000.0]], [[100.0, 1000.0, inf], [0.0012, 0.001, 1000.0]]]","[[7, 365, 1095, inf], [0.015, 0.003, 0.0015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100020.OF,"[[[100.0, 500.0, inf], [0.015, 0.013, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0013, 1000.0]]]","[[7, 365, 1095, inf], [0.015, 0.003, 0.0015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100022.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100025.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
100026.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100028.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
100029.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100032.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100035.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100036.OF,"[[inf], [0.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
100037.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
100038.OF,"[[[100.0, 500.0, inf], [0.012, 0.008, 1000.0]], [[100.0, 500.0, inf], [0.0012, 0.0008, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100039.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100050.OF,"[[100.0, 1000.0, 100.0, 500.0, inf], [0.008, 0.005, 0.0008, 0.0005, 1000.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
100051.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100053.OF,"[[[100.0, 500.0, inf], [0.015, 0.007, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0007, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100055.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100056.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100058.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.003, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100060.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100061.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100066.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
100068.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
100070.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
